benchmark,strategy,sub_dataset,n,metric,value,source_csv
D.AR,no_memoria,eventqa_full,500,rougeL_f1,0.3132734484773893,results/runs/d_ar_nomemoria_scores.csv
D.AR,no_memoria,eventqa_full,500,rougeL_recall,0.32385967741408933,results/runs/d_ar_nomemoria_scores.csv
D.AR,no_memoria,eventqa_full,500,rougeLsum_f1,0.3132734484773893,results/runs/d_ar_nomemoria_scores.csv
D.AR,no_memoria,eventqa_full,500,rougeLsum_recall,0.32385967741408933,results/runs/d_ar_nomemoria_scores.csv
D.AR,no_memoria,longmemeval_s*,300,exact_match,0.0,results/runs/d_ar_nomemoria_scores.csv
D.AR,no_memoria,longmemeval_s*,300,substring_exact_match,0.043333333333333335,results/runs/d_ar_nomemoria_scores.csv
D.AR,no_memoria,longmemeval_s*,300,f1,0.04821279576675914,results/runs/d_ar_nomemoria_scores.csv
D.AR,no_memoria,longmemeval_s*,300,rougeL_f1,0.04454826441031436,results/runs/d_ar_nomemoria_scores.csv
D.AR,no_memoria,longmemeval_s*,300,rougeL_recall,0.1320391292579802,results/runs/d_ar_nomemoria_scores.csv
D.AR,no_memoria,longmemeval_s*,300,rougeLsum_f1,0.047933295688893464,results/runs/d_ar_nomemoria_scores.csv
D.AR,no_memoria,longmemeval_s*,300,rougeLsum_recall,0.1382595640000864,results/runs/d_ar_nomemoria_scores.csv
D.AR,no_memoria,ruler_qa1_197K,100,exact_match,0.02,results/runs/d_ar_nomemoria_scores.csv
D.AR,no_memoria,ruler_qa1_197K,100,substring_exact_match,0.23,results/runs/d_ar_nomemoria_scores.csv
D.AR,no_memoria,ruler_qa1_197K,100,f1,0.0670357308771734,results/runs/d_ar_nomemoria_scores.csv
D.AR,no_memoria,ruler_qa1_197K,100,rougeL_f1,0.0685801820044302,results/runs/d_ar_nomemoria_scores.csv
D.AR,no_memoria,ruler_qa1_197K,100,rougeL_recall,0.2857063492063492,results/runs/d_ar_nomemoria_scores.csv
D.AR,no_memoria,ruler_qa1_197K,100,rougeLsum_f1,0.0685801820044302,results/runs/d_ar_nomemoria_scores.csv
D.AR,no_memoria,ruler_qa1_197K,100,rougeLsum_recall,0.2857063492063492,results/runs/d_ar_nomemoria_scores.csv
D.AR,no_memoria,ruler_qa2_421K,100,exact_match,0.0,results/runs/d_ar_nomemoria_scores.csv
D.AR,no_memoria,ruler_qa2_421K,100,substring_exact_match,0.25,results/runs/d_ar_nomemoria_scores.csv
D.AR,no_memoria,ruler_qa2_421K,100,f1,0.07312672532154495,results/runs/d_ar_nomemoria_scores.csv
D.AR,no_memoria,ruler_qa2_421K,100,rougeL_f1,0.07966100757757007,results/runs/d_ar_nomemoria_scores.csv
D.AR,no_memoria,ruler_qa2_421K,100,rougeL_recall,0.3475238095238095,results/runs/d_ar_nomemoria_scores.csv
D.AR,no_memoria,ruler_qa2_421K,100,rougeLsum_f1,0.07966100757757007,results/runs/d_ar_nomemoria_scores.csv
D.AR,no_memoria,ruler_qa2_421K,100,rougeLsum_recall,0.3475238095238095,results/runs/d_ar_nomemoria_scores.csv
D.AR,no_memoria,GLOBAL (weighted),2000,exact_match,0.0885,results/runs/d_ar_nomemoria_scores.csv
D.AR,no_memoria,GLOBAL (weighted),2000,substring_exact_match,0.1345,results/runs/d_ar_nomemoria_scores.csv
D.AR,no_memoria,GLOBAL (weighted),2000,f1,0.215222774898091,results/runs/d_ar_nomemoria_scores.csv
D.AR,no_memoria,GLOBAL (weighted),2000,rougeL_f1,0.2250177748561032,results/runs/d_ar_nomemoria_scores.csv
D.AR,no_memoria,GLOBAL (weighted),2000,rougeL_recall,0.27064738428719726,results/runs/d_ar_nomemoria_scores.csv
D.AR,no_memoria,GLOBAL (weighted),2000,rougeLsum_f1,0.22552552954789004,results/runs/d_ar_nomemoria_scores.csv
D.AR,no_memoria,GLOBAL (weighted),2000,rougeLsum_recall,0.2715804494985132,results/runs/d_ar_nomemoria_scores.csv
D.CR,a_mem,factconsolidation_mh_262k,100,exact_match,0.0,results/runs/d_cr_a_mem_scores.csv
D.CR,a_mem,factconsolidation_mh_262k,100,substring_exact_match,0.0,results/runs/d_cr_a_mem_scores.csv
D.CR,a_mem,factconsolidation_mh_262k,100,f1,0.0027335229966808914,results/runs/d_cr_a_mem_scores.csv
D.CR,a_mem,factconsolidation_mh_262k,100,rougeL_f1,0.0028507731206226274,results/runs/d_cr_a_mem_scores.csv
D.CR,a_mem,factconsolidation_mh_262k,100,rougeL_recall,0.019999999999999997,results/runs/d_cr_a_mem_scores.csv
D.CR,a_mem,factconsolidation_mh_262k,100,rougeLsum_f1,0.0028507731206226274,results/runs/d_cr_a_mem_scores.csv
D.CR,a_mem,factconsolidation_mh_262k,100,rougeLsum_recall,0.019999999999999997,results/runs/d_cr_a_mem_scores.csv
D.CR,a_mem,factconsolidation_mh_32k,100,exact_match,0.0,results/runs/d_cr_a_mem_scores.csv
D.CR,a_mem,factconsolidation_mh_32k,100,substring_exact_match,0.04,results/runs/d_cr_a_mem_scores.csv
D.CR,a_mem,factconsolidation_mh_32k,100,f1,0.01712076362076362,results/runs/d_cr_a_mem_scores.csv
D.CR,a_mem,factconsolidation_mh_32k,100,rougeL_f1,0.018076852559205502,results/runs/d_cr_a_mem_scores.csv
D.CR,a_mem,factconsolidation_mh_32k,100,rougeL_recall,0.06166666666666666,results/runs/d_cr_a_mem_scores.csv
D.CR,a_mem,factconsolidation_mh_32k,100,rougeLsum_f1,0.018076852559205502,results/runs/d_cr_a_mem_scores.csv
D.CR,a_mem,factconsolidation_mh_32k,100,rougeLsum_recall,0.06166666666666666,results/runs/d_cr_a_mem_scores.csv
D.CR,a_mem,factconsolidation_mh_64k,100,exact_match,0.01,results/runs/d_cr_a_mem_scores.csv
