benchmark,sub_dataset,metric,n,a_mem,no_memoria,delta_a_mem_minus_no_memoria
D.CR,factconsolidation_sh_64k,substring_exact_match,100,0.26,0.29,-0.02999999999999997
D.CR,factconsolidation_sh_6k,exact_match,100,0.34,0.05,0.29000000000000004
D.CR,factconsolidation_sh_6k,f1,100,0.37255245485508637,0.08670153990362721,0.28585091495145915
D.CR,factconsolidation_sh_6k,rougeL_f1,100,0.37263362748362744,0.08763559478923255,0.2849980326943949
D.CR,factconsolidation_sh_6k,rougeL_recall,100,0.455,0.1825,0.2725
D.CR,factconsolidation_sh_6k,rougeLsum_f1,100,0.37263362748362744,0.08763559478923255,0.2849980326943949
D.CR,factconsolidation_sh_6k,rougeLsum_recall,100,0.455,0.1825,0.2725
D.CR,factconsolidation_sh_6k,substring_exact_match,100,0.45,0.15,0.30000000000000004
D.LRU (det.),GLOBAL (weighted),exact_match,171,0.023391812865497075,0.05847953216374269,-0.03508771929824561
D.LRU (det.),GLOBAL (weighted),f1,171,0.2132362670297652,0.21420916479481533,-0.0009728977650501347
D.LRU (det.),GLOBAL (weighted),rougeL_f1,171,0.18535467663137065,0.18202579349974907,0.0033288831316215794
D.LRU (det.),GLOBAL (weighted),rougeL_recall,171,0.26494304368492244,0.21298299511848018,0.05196004856644226
D.LRU (det.),GLOBAL (weighted),rougeLsum_f1,171,0.22466588341229168,0.22326539769140377,0.0014004857208879118
D.LRU (det.),GLOBAL (weighted),rougeLsum_recall,171,0.2907968754354852,0.24312873846431526,0.04766813697116995
D.LRU (det.),GLOBAL (weighted),substring_exact_match,171,0.15789473684210525,0.11695906432748537,0.04093567251461988
D.LRU (det.),detective_qa,exact_match,71,0.056338028169014086,0.14084507042253522,-0.08450704225352113
D.LRU (det.),detective_qa,f1,71,0.2725652712705894,0.2746803917289865,-0.002115120458397124
D.LRU (det.),detective_qa,rougeL_f1,71,0.29679502954710774,0.28744220150807653,0.009352828039031202
D.LRU (det.),detective_qa,rougeL_recall,71,0.540490547532801,0.4130022299036384,0.12748831762916263
D.LRU (det.),detective_qa,rougeLsum_f1,71,0.29679502954710774,0.28830484086836855,0.008490188678739186
D.LRU (det.),detective_qa,rougeLsum_recall,71,0.5397602397602397,0.41957313682665803,0.12018710293358165
D.LRU (det.),detective_qa,substring_exact_match,71,0.38028169014084506,0.28169014084507044,0.09859154929577463
D.LRU (det.),infbench_sum_eng_shots2,exact_match,100,0.0,0.0,0.0
D.LRU (det.),infbench_sum_eng_shots2,f1,100,0.1711126740187801,0.17127459367155382,-0.00016191965277370657
D.LRU (det.),infbench_sum_eng_shots2,rougeL_f1,100,0.10623202606119733,0.10718014381383659,-0.0009481177526392548
D.LRU (det.),infbench_sum_eng_shots2,rougeL_recall,100,0.06930431595292866,0.07096933842101782,-0.0016650224680891668
D.LRU (det.),infbench_sum_eng_shots2,rougeLsum_f1,100,0.17345418965657225,0.17708739303575874,-0.0036332033791864893
D.LRU (det.),infbench_sum_eng_shots2,rougeLsum_recall,100,0.11403288676490962,0.11785321562705191,-0.003820328862142286
D.LRU (det.),infbench_sum_eng_shots2,substring_exact_match,100,0.0,0.0,0.0
D.LRU (judge),detective_qa,accuracy,71,0.4085,0.338,0.07049999999999995
D.LRU (judge),infbench_sum_eng_shots2,mean_f1,100,0.0192,0.0074,0.011799999999999998
D.LRU (judge),infbench_sum_eng_shots2,mean_fluency,100,1.0,1.0,0.0
D.LRU (judge),infbench_sum_eng_shots2,mean_precision,100,0.1274,0.0765,0.050900000000000015
D.LRU (judge),infbench_sum_eng_shots2,mean_recall,100,0.036,0.0313,0.004699999999999996
D.TTL,GLOBAL (weighted),exact_match,500,0.0,0.0,0.0
D.TTL,GLOBAL (weighted),f1,500,0.005515922233794574,0.000711111111111111,0.004804811122683463
D.TTL,GLOBAL (weighted),rougeL_f1,500,0.00551353203798843,0.0013150326797385621,0.004198499358249868
D.TTL,GLOBAL (weighted),rougeL_recall,500,0.03,0.008,0.022
D.TTL,GLOBAL (weighted),rougeLsum_f1,500,0.00551353203798843,0.0013150326797385621,0.004198499358249868
D.TTL,GLOBAL (weighted),rougeLsum_recall,500,0.03,0.008,0.022
D.TTL,GLOBAL (weighted),substring_exact_match,500,0.046,0.034,0.011999999999999997
D.TTL,icl_banking77_5900shot_balance,exact_match,100,0.0,0.0,0.0
D.TTL,icl_banking77_5900shot_balance,f1,100,0.0029914529914529912,0.0,0.0029914529914529912
D.TTL,icl_banking77_5900shot_balance,rougeL_f1,100,0.002507836990595611,0.0,0.002507836990595611
D.TTL,icl_banking77_5900shot_balance,rougeL_recall,100,0.02,0.0,0.02
D.TTL,icl_banking77_5900shot_balance,rougeLsum_f1,100,0.002507836990595611,0.0,0.002507836990595611
D.TTL,icl_banking77_5900shot_balance,rougeLsum_recall,100,0.02,0.0,0.02
D.TTL,icl_banking77_5900shot_balance,substring_exact_match,100,0.02,0.0,0.02
D.TTL,icl_clinic150_7050shot_balance,exact_match,100,0.0,0.0,0.0
D.TTL,icl_clinic150_7050shot_balance,f1,100,0.01401111111111111,0.0,0.01401111111111111
D.TTL,icl_clinic150_7050shot_balance,rougeL_f1,100,0.013544025157232704,0.0,0.013544025157232704
D.TTL,icl_clinic150_7050shot_balance,rougeL_recall,100,0.05,0.0,0.05
D.TTL,icl_clinic150_7050shot_balance,rougeLsum_f1,100,0.013544025157232704,0.0,0.013544025157232704
D.TTL,icl_clinic150_7050shot_balance,rougeLsum_recall,100,0.05,0.0,0.05
D.TTL,icl_clinic150_7050shot_balance,substring_exact_match,100,0.05,0.0,0.05
D.TTL,icl_nlu_8296shot_balance,exact_match,100,0.0,0.0,0.0
D.TTL,icl_nlu_8296shot_balance,f1,100,0.004314420803782506,0.0,0.004314420803782506
D.TTL,icl_nlu_8296shot_balance,rougeL_f1,100,0.004131054131054131,0.0,0.004131054131054131
D.TTL,icl_nlu_8296shot_balance,rougeL_recall,100,0.03,0.0,0.03
D.TTL,icl_nlu_8296shot_balance,rougeLsum_f1,100,0.004131054131054131,0.0,0.004131054131054131
D.TTL,icl_nlu_8296shot_balance,rougeLsum_recall,100,0.03,0.0,0.03
D.TTL,icl_nlu_8296shot_balance,substring_exact_match,100,0.04,0.0,0.04
D.TTL,icl_trec_coarse_6600shot_balance,exact_match,100,0.0,0.0,0.0
D.TTL,icl_trec_coarse_6600shot_balance,f1,100,0.0044444444444444444,0.0035555555555555553,0.0008888888888888891
D.TTL,icl_trec_coarse_6600shot_balance,rougeL_f1,100,0.00527485380116959,0.006575163398692811,-0.0013003095975232205
